Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.2359 dE=0.2064  readout_only.TVD=0.1825 dE=0.1550  oracle_binomial.TVD=0.0972 dE=0.0318  gdr_param.TVD=0.1140 dE=0.0851  gdr_select.TVD=0.1140 dE=0.0851

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0966   0.0065   0.0000
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0713   0.0051   0.0000
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0813   0.0097   0.0000
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0594   0.0061   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0594   0.0061   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0549   0.0051   0.0000
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0832   0.0089   0.0000
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0832   0.0089   0.0000
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0594   0.0061   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0594   0.0061   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.1318   0.0331   0.0000
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0051     —   
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1772   0.0166   0.0014
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1789   0.0160   0.0015
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.2186   0.0150   0.0000
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.2079   0.0163   0.0000
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2150   0.0251   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0894   0.0055   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0889   0.0061   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0894   0.0055   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.2195   0.0149   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2195   0.0149   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0894   0.0055   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0890   0.0053   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.2560   0.0693   0.0001
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0085     —   
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.2029   0.0081   0.0002
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1993   0.0082   0.0002
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.4196   0.0366   0.0001
ecd    random     comprehensive             0.100 readout_realistic  readout_only         0.4183   0.0372   0.0001
ecd    random     comprehensive             0.100 readout_realistic  oracle_binomial      0.4890   0.0669   0.0001
