Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.2420 dE=0.2040  readout_only.TVD=0.1864 dE=0.1526  oracle_binomial.TVD=0.1090 dE=0.0439  gdr_param.TVD=0.1273 dE=0.0974  gdr_select.TVD=0.1273 dE=0.0974

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.1022   0.0014   0.0001
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0805   0.0003   0.0001
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0938   0.0022   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0650   0.0007   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0650   0.0007   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0641   0.0006   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0944   0.0012   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0944   0.0012   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0650   0.0007   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0638   0.0004   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.5971   0.0527   0.0001
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0003     —   
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.2125   0.0032   0.0001
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.2062   0.0003   0.0001
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.2353   0.0196   0.0004
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.2242   0.0213   0.0004
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2421   0.0031   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1242   0.0117   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1257   0.0122   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1422   0.0132   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.2511   0.0096   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2511   0.0096   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1242   0.0117   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1242   0.0117   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.6725   0.0110   0.0001
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0100     —   
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.2147   0.0220   0.0001
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2041   0.0205   0.0001
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.4294   0.0406   0.0001
ecd    random     comprehensive             0.100 readout_realistic  readout_only         0.4303   0.0415   0.0001
ecd    random     comprehensive             0.100 readout_realistic  oracle_binomial      0.4911   0.1006   0.0001
