Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1667 dE=0.1089 GS=Y  readout_only.TVD=0.1341 dE=0.0828 GS=Y  oracle_binomial.TVD=0.1052 dE=0.0388 GS=Y  gdr_param.TVD=0.0969 dE=0.0123 GS=Y  gdr_select.TVD=0.0969 dE=0.0123 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0864   0.0097   0.0020   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0796   0.0056   0.0022   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.1029   0.0066   0.0031   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0774   0.0027   0.0022   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0774   0.0027   0.0022   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0770   0.0027   0.0024   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.1122   0.0068   0.0038   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.1122   0.0068   0.0038   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0774   0.0027   0.0022   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0770   0.0027   0.0024   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.4846   0.0587   0.0105   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0031     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.2386   0.0086   0.0015   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.2477   0.0122   0.0016   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.1689   0.0318   0.0060   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.1647   0.0386   0.0063   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3466   0.0084   0.0032   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1462   0.0311   0.0055   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1462   0.0311   0.0055   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1454   0.0269   0.0047   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.3067   0.0292   0.0024   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.3067   0.0292   0.0024   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1462   0.0311   0.0055   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1462   0.0311   0.0055   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.6099   0.0867   0.0061   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0104     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.2536   0.0199   0.0081   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2599   0.0152   0.0092   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.3349   0.0433   0.0130   N
