Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1396 dE=0.1347 GS=Y  readout_only.TVD=0.1214 dE=0.1110 GS=Y  oracle_binomial.TVD=0.1339 dE=0.0189 GS=Y  gdr_param.TVD=0.0706 dE=0.0182 GS=Y  gdr_select.TVD=0.0706 dE=0.0182 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0835   0.0162   0.0002   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0702   0.0131   0.0002   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0769   0.0048   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0615   0.0119   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0614   0.0120   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0651   0.0105   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0834   0.0043   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0834   0.0043   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0604   0.0103   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0651   0.0105   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.6157   0.0351   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0150     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1678   0.0090   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1752   0.0058   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.1603   0.0060   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.1503   0.0028   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2855   0.0338   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1611   0.0016   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1433   0.0018   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1623   0.0004   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.2751   0.0309   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2751   0.0309   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1611   0.0016   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1474   0.0018   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.8407   0.0891   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0104     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1531   0.0110   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1587   0.0087   0.0003   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.2669   0.0059   0.0002   N
