Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.0799 dE=0.0525 GS=Y  readout_only.TVD=0.0599 dE=0.0388 GS=Y  oracle_binomial.TVD=0.0527 dE=0.0263 GS=Y  gdr_param.TVD=0.0562 dE=0.0226 GS=Y  gdr_select.TVD=0.0562 dE=0.0226 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0439   0.0051   0.0055   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0366   0.0099   0.0045   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0439   0.0212   0.0021   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0379   0.0164   0.0026   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0379   0.0164   0.0026   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0384   0.0176   0.0024   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0431   0.0202   0.0027   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0448   0.0203   0.0018   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0414   0.0198   0.0023   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0379   0.0164   0.0026   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.4424   0.0303   0.0028   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0099     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1729   0.0331   0.0013   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1780   0.0304   0.0027   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.0531   0.0011   0.0102   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.0503   0.0034   0.0098   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.0564   0.0201   0.0023   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0438   0.0089   0.0064   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0438   0.0089   0.0064   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0450   0.0073   0.0066   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.0573   0.0154   0.0049   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.0573   0.0154   0.0049   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0438   0.0089   0.0064   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0450   0.0073   0.0066   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.5830   0.0284   0.0306   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0106     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1304   0.0007   0.0041   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1373   0.0048   0.0028   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.1159   0.0054   0.0155   N
