Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.0819 dE=0.0064 GS=N  readout_only.TVD=0.0496 dE=0.0069 GS=N  oracle_binomial.TVD=0.0436 dE=0.0085 GS=Y  gdr_param.TVD=0.0412 dE=0.0046 GS=Y  gdr_select.TVD=0.0412 dE=0.0046 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0566   0.0152   0.0015   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0507   0.0102   0.0009   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0569   0.0040   0.0005   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0520   0.0008   0.0004   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0520   0.0008   0.0004   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0512   0.0006   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0566   0.0015   0.0002   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0566   0.0015   0.0002   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0520   0.0008   0.0004   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0512   0.0006   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.2924   0.0718   0.0307   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0104     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.2067   0.0267   0.0156   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.2167   0.0241   0.0158   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.0771   0.0106   0.0015   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.0743   0.0162   0.0007   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.1494   0.0506   0.0056   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0790   0.0042   0.0021   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0790   0.0042   0.0021   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0776   0.0043   0.0017   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.1650   0.0310   0.0020   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1650   0.0310   0.0020   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0790   0.0042   0.0021   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0776   0.0043   0.0017   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.3386   0.0235   0.0117   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0034     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1533   0.0288   0.0082   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1613   0.0338   0.0079   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.1892   0.0549   0.0042   N
