Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1436 dE=0.1189 GS=Y  readout_only.TVD=0.1003 dE=0.0845 GS=Y  oracle_binomial.TVD=0.0753 dE=0.0297 GS=Y  gdr_param.TVD=0.0494 dE=0.0226 GS=Y  gdr_select.TVD=0.0494 dE=0.0226 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0508   0.0005   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0476   0.0013   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0708   0.0013   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0501   0.0003   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0478   0.0007   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0504   0.0007   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0754   0.0028   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0754   0.0028   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0501   0.0003   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0504   0.0007   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.2806   0.0883   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0002     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1738   0.0074   0.0005   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1863   0.0075   0.0006   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.1185   0.0010   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.1163   0.0004   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2012   0.0041   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0838   0.0076   0.0007   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0798   0.0065   0.0007   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0782   0.0062   0.0008   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.2417   0.0074   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2417   0.0074   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0838   0.0076   0.0007   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0782   0.0062   0.0008   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.4096   0.0085   0.0024   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0022     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1607   0.0070   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1735   0.0054   0.0002   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.2256   0.0096   0.0002   N
