Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1044 dE=0.0664 GS=Y  readout_only.TVD=0.0619 dE=0.0316 GS=Y  oracle_binomial.TVD=0.0308 dE=0.0023 GS=Y  gdr_param.TVD=0.0298 dE=0.0047 GS=Y  gdr_select.TVD=0.0298 dE=0.0047 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0788   0.0595   0.0004   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0492   0.0415   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0238   0.0011   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0248   0.0058   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0407   0.0325   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0249   0.0058   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0238   0.0011   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0238   0.0011   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0248   0.0058   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0258   0.0094   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.6306   0.1712   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0030     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.0885   0.0573   0.0006   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.0845   0.0465   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.2983   0.2851   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.2826   0.2767   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.1037   0.0514   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.0295   0.0045   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.0295   0.0045   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.0295   0.0045   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.1030   0.0482   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1030   0.0482   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.0295   0.0045   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.0293   0.0047   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.9231   0.0850   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0018     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1636   0.1192   0.0005   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1436   0.1062   0.0001   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.5416   0.5865   0.0001   N
