Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1550 dE=0.1413 GS=Y  readout_only.TVD=0.0928 dE=0.0819 GS=Y  oracle_binomial.TVD=0.0325 dE=0.0129 GS=Y  gdr_param.TVD=0.0438 dE=0.0338 GS=Y  gdr_select.TVD=0.0438 dE=0.0338 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0574   0.0010   0.0005   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0442   0.0002   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0442   0.0001   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0392   0.0001   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0442   0.0002   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0389   0.0001   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0442   0.0001   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0442   0.0001   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0392   0.0001   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0389   0.0001   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.5118   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1524   0.0022   0.0029   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1650   0.0010   0.0017   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.2390   0.0015   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.2298   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.1917   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.1520   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.1389   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.1482   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.1974   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1974   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.1520   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.1520   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.8914   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.2137   0.0070   0.0007   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2089   0.0024   0.0006   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.4719   0.0040   0.0005   N
