SNAP vs ECD  preset=paper  ECD N_d=5  SNAP N_d=[1, 2]  trials=50  maxiter=200  workers=7
reusing ECD from paper_result/out/fig5.json  (n=50)
=== SNAP-VQE  N_d=1  params=18  trials=50  maxiter=200  workers=7 ===
[1/100] snap t1  gibbs  P*=0.0000  E=42.247  bits=0000001  nit=1
[2/100] snap t2  gibbs  P*=0.0657  E=6.352  bits=0101000  nit=11
[3/100] snap t3  gibbs  P*=0.0657  E=6.357  bits=0101000  nit=6
[4/100] snap t0  energy  P*=0.0126  E=1.738  bits=0111000  nit=11
[5/100] snap t4  gibbs  P*=0.0657  E=6.347  bits=0101000  nit=5
[6/100] snap t5  gibbs  P*=0.0656  E=6.401  bits=0101000  nit=6
[7/100] snap t0  gibbs  P*=0.0656  E=6.394  bits=0101000  nit=6
[8/100] snap t5  energy  P*=0.0126  E=1.738  bits=0111000  nit=18
[9/100] snap t3  energy  P*=0.0126  E=1.738  bits=0111000  nit=10
[10/100] snap t6  energy  P*=0.0126  E=1.738  bits=0111000  nit=15
[11/100] snap t6  gibbs  P*=0.0659  E=6.275  bits=0101000  nit=11
[12/100] snap t7  gibbs  P*=0.0032  E=22.862  bits=0001000  nit=1
[13/100] snap t8  gibbs  P*=0.0001  E=14.645  bits=0001010  nit=1
[14/100] snap t4  energy  P*=0.0126  E=1.738  bits=0111000  nit=12
[15/100] snap t9  gibbs  P*=0.0001  E=21.900  bits=0010111  nit=1
[16/100] snap t2  energy  P*=0.0126  E=1.738  bits=0111000  nit=13
[17/100] snap t10  gibbs  P*=0.0485  E=3.849  bits=0101000  nit=5
[18/100] snap t11  gibbs  P*=0.0257  E=12.131  bits=0010000  nit=1
[19/100] snap t10  energy  P*=0.0126  E=1.738  bits=0111000  nit=12
[20/100] snap t1  energy  P*=0.0000  E=4.793  bits=0000111  nit=14
[21/100] snap t9  energy  P*=0.0000  E=3.129  bits=0000111  nit=11
[22/100] snap t12  energy  P*=0.0126  E=1.738  bits=0111000  nit=9
[23/100] snap t8  energy  P*=0.0000  E=3.129  bits=0000111  nit=11
[24/100] snap t12  gibbs  P*=0.0659  E=6.262  bits=0101000  nit=1
[25/100] snap t13  gibbs  P*=0.0658  E=6.332  bits=0101000  nit=6
[26/100] snap t14  energy  P*=0.0000  E=3.129  bits=0000111  nit=10
[27/100] snap t15  gibbs  P*=0.0630  E=6.756  bits=0101000  nit=1
[28/100] snap t14  gibbs  P*=0.0654  E=6.584  bits=0101000  nit=10
[29/100] snap t13  energy  P*=0.0126  E=1.738  bits=0111000  nit=15
